game_id,threshold,true_werewolves,predicted_werewolves,correct,total,accuracy
1,0.6,['Player3'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
2,0.6,['Player3'],"['Player2', 'Player3']",1,1,1.0
3,0.6,['Player2'],"['Player2', 'Player5']",1,1,1.0
4,0.6,['Player5'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
5,0.6,['Player2'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
6,0.6,['Player3'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
7,0.6,['Player2'],"['Player4', 'Player2']",1,1,1.0
8,0.6,['Player5'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
9,0.6,['Player5'],"['Player4', 'Player3', 'Player5']",1,1,1.0
10,0.6,['Player1'],"['Player1', 'Player2', 'Player5']",1,1,1.0
12,0.6,['Player2'],"['Player2', 'Player3']",1,1,1.0
13,0.6,['Player3'],"['Player2', 'Player4', 'Player1', 'Player3', 'Player5']",1,1,1.0
14,0.6,['Player5'],"['Player2', 'Player4', 'Player1', 'Player3', 'Player5']",1,1,1.0
15,0.6,['Player5'],"['Player3', 'Player5']",1,1,1.0
16,0.6,['Player2'],"['Player2', 'Player3']",1,1,1.0
17,0.6,['Player1'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
18,0.6,['Player3'],"['Player4', 'Player3']",1,1,1.0
19,0.6,['Player4'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
20,0.6,['Player3'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
